algorithm	dataset	seed	size	cpus	time
1 grb thread	panacea	0	1	1	415.3452000617981
1 grb thread	panacea	1	1	1	350.8915088176728
1 grb thread	panacea	2	1	1	365.80148100852966
1 grb thread	panacea	3	1	1	297.60738825798035
2 grb threads	panacea	0	1	1	341.9568340778351
2 grb threads	panacea	1	1	1	522.5988190174103
2 grb threads	panacea	2	1	1	380.6871967315674
2 grb threads	panacea	3	1	1	473.898506641388
4 grb threads	panacea	0	1	1	251.83620929718015
4 grb threads	panacea	1	1	1	273.1804299354553
4 grb threads	panacea	2	1	1	288.84703493118286
4 grb threads	panacea	3	1	1	248.8383576869965
8 grb threads	panacea	0	1	1	253.7042784690857
8 grb threads	panacea	1	1	1	275.9873881340027
8 grb threads	panacea	2	1	1	286.53872776031494
8 grb threads	panacea	3	1	1	243.9499042034149
16 grb threads	panacea	0	1	1	238.29725170135495
16 grb threads	panacea	1	1	1	247.72949051856995
16 grb threads	panacea	2	1	1	278.8414514064789
16 grb threads	panacea	3	1	1	246.799156665802
1 grb thread	panacea	0	1	2	204.6201298236847
1 grb thread	panacea	1	1	2	255.84796118736267
1 grb thread	panacea	2	1	2	410.93963861465454
1 grb thread	panacea	3	1	2	302.8067054748535
2 grb threads	panacea	0	1	2	196.85521292686465
2 grb threads	panacea	1	1	2	250.6603901386261
2 grb threads	panacea	2	1	2	226.97025609016416
2 grb threads	panacea	3	1	2	331.62191796302795
4 grb threads	panacea	0	1	2	148.26058268547058
4 grb threads	panacea	1	1	2	155.73611736297607
4 grb threads	panacea	2	1	2	133.54731822013855
4 grb threads	panacea	3	1	2	134.17668342590332
8 grb threads	panacea	0	1	2	145.29882502555847
8 grb threads	panacea	1	1	2	158.24430584907532
8 grb threads	panacea	2	1	2	146.76230549812317
8 grb threads	panacea	3	1	2	139.2579071521759
16 grb threads	panacea	0	1	2	147.6262402534485
16 grb threads	panacea	1	1	2	140.03264546394348
16 grb threads	panacea	2	1	2	143.10009860992432
16 grb threads	panacea	3	1	2	230.3472676277161
1 grb thread	panacea	0	1	4	108.50651240348816
1 grb thread	panacea	1	1	4	147.53569269180298
1 grb thread	panacea	2	1	4	94.14747834205627
1 grb thread	panacea	3	1	4	148.0671424865723
2 grb threads	panacea	0	1	4	144.9764256477356
2 grb threads	panacea	1	1	4	169.09247517585754
2 grb threads	panacea	2	1	4	162.40761137008667
2 grb threads	panacea	3	1	4	126.4921441078186
4 grb threads	panacea	0	1	4	81.10020613670349
4 grb threads	panacea	1	1	4	87.31446599960327
4 grb threads	panacea	2	1	4	84.78624701499939
4 grb threads	panacea	3	1	4	93.68317723274232
8 grb threads	panacea	0	1	4	85.21130347251892
8 grb threads	panacea	1	1	4	85.04207181930542
8 grb threads	panacea	2	1	4	88.65559697151184
8 grb threads	panacea	3	1	4	84.8314938545227
16 grb threads	panacea	0	1	4	79.81903505325317
16 grb threads	panacea	1	1	4	84.73161363601685
16 grb threads	panacea	2	1	4	85.43924736976624
16 grb threads	panacea	3	1	4	82.97396802902222
1 grb thread	panacea	0	1	8	142.93891835212708
1 grb thread	panacea	1	1	8	135.58266377449036
1 grb thread	panacea	2	1	8	155.3562150001526
1 grb thread	panacea	3	1	8	109.90160036087036
2 grb threads	panacea	0	1	8	66.77511167526245
2 grb threads	panacea	1	1	8	95.97284317016602
2 grb threads	panacea	2	1	8	72.98336100578308
2 grb threads	panacea	3	1	8	103.32495951652528
4 grb threads	panacea	0	1	8	53.69652199745178
4 grb threads	panacea	1	1	8	50.022132396698
4 grb threads	panacea	2	1	8	51.511483669281006
4 grb threads	panacea	3	1	8	57.744884729385376
8 grb threads	panacea	0	1	8	58.33293151855469
8 grb threads	panacea	1	1	8	53.963690757751465
8 grb threads	panacea	2	1	8	61.40775942802429
8 grb threads	panacea	3	1	8	49.78429627418518
16 grb threads	panacea	0	1	8	61.48846101760864
16 grb threads	panacea	1	1	8	55.30429291725159
16 grb threads	panacea	2	1	8	63.45252346992493
16 grb threads	panacea	3	1	8	57.358619689941406
1 grb thread	panacea	0	1	16	109.5020158290863
1 grb thread	panacea	1	1	16	126.7226779460907
1 grb thread	panacea	2	1	16	85.54742121696472
1 grb thread	panacea	3	1	16	54.38181257247925
2 grb threads	panacea	0	1	16	74.92767453193665
2 grb threads	panacea	1	1	16	133.16388273239136
2 grb threads	panacea	2	1	16	97.75438165664671
2 grb threads	panacea	3	1	16	91.614235162735
4 grb threads	panacea	0	1	16	44.48044109344482
4 grb threads	panacea	1	1	16	46.19891953468323
4 grb threads	panacea	2	1	16	47.31203317642212
4 grb threads	panacea	3	1	16	50.0891592502594
8 grb threads	panacea	0	1	16	45.50362181663513
8 grb threads	panacea	1	1	16	53.35390686988831
8 grb threads	panacea	2	1	16	89.64999055862427
8 grb threads	panacea	3	1	16	49.34414863586426
16 grb threads	panacea	0	1	16	48.49110746383667
16 grb threads	panacea	1	1	16	49.24638652801514
16 grb threads	panacea	2	1	16	52.56847858428955
16 grb threads	panacea	3	1	16	40.65433716773987
1 grb thread	panacea	0	1	32	206.52028822898865
1 grb thread	panacea	1	1	32	96.01634049415588
1 grb thread	panacea	2	1	32	84.27576923370361
1 grb thread	panacea	3	1	32	102.81789493560792
2 grb threads	panacea	0	1	32	104.33092045783997
2 grb threads	panacea	1	1	32	33.29887580871582
2 grb threads	panacea	2	1	32	100.81993198394775
2 grb threads	panacea	3	1	32	29.56430292129517
4 grb threads	panacea	0	1	32	39.09054565429688
4 grb threads	panacea	1	1	32	45.54080176353455
4 grb threads	panacea	2	1	32	47.630735635757446
4 grb threads	panacea	3	1	32	42.99131178855896
8 grb threads	panacea	0	1	32	36.78598237037659
8 grb threads	panacea	1	1	32	38.41399693489075
8 grb threads	panacea	2	1	32	39.81504607200623
8 grb threads	panacea	3	1	32	52.6728515625
16 grb threads	panacea	0	1	32	40.10464429855347
16 grb threads	panacea	1	1	32	38.0096321105957
16 grb threads	panacea	2	1	32	31.81277823448181
16 grb threads	panacea	3	1	32	43.7674343585968
